날짜,총자산,조정자산
2026-08-14,10114785.0,10241641.666666666
2026-08-18,10039264.686890308,10235206.353556974
2026-08-19,10046836.070354683,10241532.737021351
2026-08-20,9982490.786802923,10244742.453469591
2026-08-21,10008886.92202114,10247053.588687804
2026-08-24,9939761.745950822,10248983.745950822
2026-08-25,10067432.992822863,10281535.65948953
2026-08-26,10144991.136085687,10320713.802752355
2026-08-27,10129623.797326488,10329311.463993153
2026-08-28,10093532.852707423,10338890.51937409
