종목명,종목코드,섹터,수량,평단가,현재가,등락률,업데이트시각
삼립,5610,식품,3.0,40366.66666666666,39750.0,0,08/25 14:27
우리금융지주,316140,금융지주,2.0,33250.0,33150.0,0,08/25 14:27
CJ대한통운,120,물류,2.0,75450.0,75500.0,0,08/25 14:27
카카오뱅크,323410,은행,3.0,21750.0,21750.0,0,08/25 14:27
미스토홀딩스,81660,섬유의류,2.0,43983.333333333336,44050.0,0,08/25 14:27
오스테오닉,226400,의료기기,22.0,4654.363636363636,4950.0,0,08/25 14:27
JW생명과학,234080,제약바이오,3.0,11290.0,11290.0,0,08/25 14:27
성광벤드,14620,기계,5.0,26185.0,26100.0,0,08/25 14:27
한국단자,25540,전기전자,3.0,62066.66666666666,62600.0,0,08/25 14:27
아이센스,99190,의료기기,4.0,18115.0,18290.0,0,08/25 14:27
메리츠금융지주,138040,금융지주,1.0,122600.0,122600.0,0,08/25 14:27
JYP Ent.,35900,엔터테인먼트,4.0,45387.5,47400.0,0,08/25 14:27
영원무역,111770,의류,2.0,82675.0,89500.0,0,08/25 14:27
CJ제일제당,97950,식품,2.0,195700.0,204500.0,0,08/25 14:27
신세계인터내셔날,31430,의류,16.0,11051.25,11570.0,0,08/25 14:27
동국제강,460860,금속철강,5.0,9831.0,9810.0,0,08/25 14:27
삼양패키징,272550,포장재,8.0,9826.25,9770.0,0,08/25 14:27
서흥,8490,제약바이오,10.0,25480.0,30050.0,0,08/25 14:27
유한양행,100,제약바이오,1.0,86900.0,86900.0,0,08/25 14:27
한샘,9240,가구,2.0,42300.0,42300.0,0,08/25 14:27
심텍,222800,반도체소재,1.0,123100.0,123100.0,0,08/25 14:27
사조대림,3960,식품,4.0,32000.0,32750.0,0,08/25 14:27
종근당,185750,식품,2.0,71600.0,72100.0,0,08/25 14:27
이마트,139480,유통,1.0,80800.0,80800.0,0,08/25 14:27
GS리테일,7070,유통,3.0,27350.0,27350.0,0,08/25 14:27
더네이쳐홀딩스,298540,화장품,10.0,6784.0,6870.0,0,08/25 14:27
HK이노엔,195940,제약바이오,1.0,41750.0,41750.0,0,08/25 14:27
해태제과식품,101530,식품,8.0,5710.0,5710.0,0,08/25 14:27
아세아제지,2310,제지,5.0,7780.0,7780.0,0,08/25 14:27
AJ네트웍스,95570,렌탈서비스,12.0,4520.0,4520.0,0,08/25 14:27
오리온,271560,식품,1.0,132200.0,132200.0,0,08/25 14:27
KCC글라스,344820,건자재,3.0,24816.666666666668,24850.0,0,08/25 14:27
대한항공,3490,항공,1.0,25650.0,25650.0,0,08/25 14:27
대한화섬,3830,섬유의류,1.0,117900.0,117900.0,0,08/25 14:27
한국가구,4590,유통,11.0,5119.090909090909,5150.0,0,08/25 14:27
삼성중공업,10140,조선,3.0,21333.33333333333,21675.0,0,08/25 14:27
와이지-원,19210,기계,6.0,15348.333333333334,15940.0,0,08/25 14:27
동서,26960,식품,3.0,25766.666666666668,25825.0,0,08/25 14:27
노바렉스,194700,식품,7.0,11835.714285714286,12060.0,0,08/25 14:27
매일유업,267980,식품,2.0,34875.0,34875.0,0,08/25 14:27
마녀공장,439090,화장품,1.0,17360.0,17360.0,0,08/25 14:27
아스테라시스,450950,의료기기,10.0,5520.0,5520.0,0,08/25 14:27
태광,23160,금속철강,2.0,21650.0,21650.0,0,08/25 14:27
화승코퍼레이션,13520,화학,15.0,2500.0,2500.0,0,08/25 14:27
계룡건설,13580,건설,2.0,23350.0,23350.0,0,08/25 14:27
코메론,49430,기계,2.0,20400.0,20400.0,0,08/25 14:27
코오롱티슈진,950160,제약바이오,5.0,20524.0,21650.0,0,08/25 14:27
비츠로셀,82920,전기전자,1.0,30450.0,30450.0,0,08/25 14:27
크라운해태홀딩스,5740,식품,4.0,5640.0,5640.0,0,08/27 09:48
DL이앤씨,375500,건설,1.0,68200.0,68200.0,0,08/27 09:48
율촌화학,8730,제지,2.0,15110.0,15110.0,0,08/28 09:19
세진중공업,75580,조선,2.0,10300.0,10300.0,0,08/28 09:19
매커스,93520,반도체유통,2.0,24700.0,24700.0,0,08/28 09:19
서진시스템,178320,전기전자,1.0,37650.0,37650.0,0,08/28 09:19
